TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 19:40:00.000000000,-3281.76560632219,4255.23262630946,-4451.67449303307
1 Jan 2020 19:40:01.000000000,-3277.47372169463,4252.55040140718,-4457.39577307891
1 Jan 2020 19:40:02.000000000,-3273.17840141976,4249.86258444335,-4463.11182434371
1 Jan 2020 19:40:03.000000000,-3268.87965132897,4247.16917805586,-4468.82264012219
1 Jan 2020 19:40:04.000000000,-3264.57747725677,4244.47018489033,-4474.52821371526
1 Jan 2020 19:40:05.000000000,-3260.27188504195,4241.76560759927,-4480.22853842993
1 Jan 2020 19:40:06.000000000,-3255.96288052624,4239.05544884304,-4485.92360757942
1 Jan 2020 19:40:07.000000000,-3251.65046955547,4236.33971128904,-4491.61341448306
1 Jan 2020 19:40:08.000000000,-3247.33465797863,4233.61839761229,-4497.2979524664
1 Jan 2020 19:40:09.000000000,-3243.0154516487,4230.89151049493,-4502.97721486115
1 Jan 2020 19:40:10.000000000,-3238.69285642186,4228.15905262672,-4508.65119500519
1 Jan 2020 19:40:11.000000000,-3234.3668781582,4225.42102670449,-4514.31988624263
1 Jan 2020 19:40:12.000000000,-3230.03752272112,4222.67743543266,-4519.98328192378
1 Jan 2020 19:40:13.000000000,-3225.70479597745,4219.92828152306,-4525.64137540513
1 Jan 2020 19:40:14.000000000,-3221.36870379814,4217.17356769446,-4531.29416004942
1 Jan 2020 19:40:15.000000000,-3217.02925205701,4214.41329667347,-4536.94162922561
1 Jan 2020 19:40:16.000000000,-3212.68644663176,4211.64747119374,-4542.5837763089
1 Jan 2020 19:40:17.000000000,-3208.34029340356,4208.87609399638,-4548.22059468073
1 Jan 2020 19:40:18.000000000,-3203.99079825714,4206.09916782973,-4553.85207772877
1 Jan 2020 19:40:19.000000000,-3199.63796708055,4203.31669544962,-4559.47821884698
1 Jan 2020 19:40:20.000000000,-3195.28180576536,4200.52867961923,-4565.09901143558
1 Jan 2020 19:40:21.000000000,-3190.92232020688,4197.73512310885,-4570.71444890105
1 Jan 2020 19:40:22.000000000,-3186.55951630354,4194.93602869639,-4576.32452465615
1 Jan 2020 19:40:23.000000000,-3182.19339995758,4192.13139916678,-4581.92923211996
1 Jan 2020 19:40:24.000000000,-3177.82397707438,4189.32123731258,-4587.52856471782
1 Jan 2020 19:40:25.000000000,-3173.45125356301,4186.50554593347,-4593.12251588139
1 Jan 2020 19:40:26.000000000,-3169.07523533591,4183.68432783649,-4598.71107904866
1 Jan 2020 19:40:27.000000000,-3164.69592830906,4180.85758583595,-4604.29424766392
1 Jan 2020 19:40:28.000000000,-3160.31333840165,4178.0253227536,-4609.87201517778
1 Jan 2020 19:40:29.000000000,-3155.92747153633,4175.18754141851,-4615.44437504721
1 Jan 2020 19:40:30.000000000,-3151.53833363941,4172.34424466684,-4621.01132073551
1 Jan 2020 19:40:31.000000000,-3147.14593064027,4169.49543534234,-4626.57284571233
1 Jan 2020 19:40:32.000000000,-3142.75026847203,4166.64111629578,-4632.12894345369
1 Jan 2020 19:40:33.000000000,-3138.35135307083,4163.78129038552,-4637.67960744196
1 Jan 2020 19:40:34.000000000,-3133.94919037648,4160.91596047698,-4643.22483116589
1 Jan 2020 19:40:35.000000000,-3129.54378633207,4158.04512944296,-4648.76460812063
1 Jan 2020 19:40:36.000000000,-3125.13514688414,4155.1688001635,-4654.29893180769
1 Jan 2020 19:40:37.000000000,-3120.72327798232,4152.28697552611,-4659.82779573499
1 Jan 2020 19:40:38.000000000,-3116.30818557996,4149.39965842532,-4665.35119341687
1 Jan 2020 19:40:39.000000000,-3111.88987563345,4146.50685176313,-4670.86911837405
1 Jan 2020 19:40:40.000000000,-3107.46835410256,4143.60855844885,-4676.3815641337
1 Jan 2020 19:40:41.000000000,-3103.04362695061,4140.70478139885,-4681.88852422939
1 Jan 2020 19:40:42.000000000,-3098.61570014391,4137.79552353703,-4687.38999220116
1 Jan 2020 19:40:43.000000000,-3094.18457965233,4134.88078779437,-4692.88596159545
1 Jan 2020 19:40:44.000000000,-3089.75027144897,4131.96057710919,-4698.3764259652
1 Jan 2020 19:40:45.000000000,-3085.31278151029,4129.034894427,-4703.86137886975
1 Jan 2020 19:40:46.000000000,-3080.87211581578,4126.10374270078,-4709.34081387496
1 Jan 2020 19:40:47.000000000,-3076.42828034856,4123.16712489048,-4714.81472455312
1 Jan 2020 19:40:48.000000000,-3071.98128109468,4120.22504396361,-4720.28310448303
1 Jan 2020 19:40:49.000000000,-3067.53112404378,4117.27750289463,-4725.74594724996
1 Jan 2020 19:40:50.000000000,-3063.07781518851,4114.32450466546,-4731.20324644569
1 Jan 2020 19:40:51.000000000,-3058.62136052474,4111.36605226529,-4736.65499566849
1 Jan 2020 19:40:52.000000000,-3054.16176605178,4108.40214869039,-4742.10118852315
1 Jan 2020 19:40:53.000000000,-3049.69903777206,4105.43279694435,-4747.54181862096
1 Jan 2020 19:40:54.000000000,-3045.23318169134,4102.45800003793,-4752.97687957976
1 Jan 2020 19:40:55.000000000,-3040.76420381831,4099.47776098933,-4758.40636502391
1 Jan 2020 19:40:56.000000000,-3036.29211016514,4096.49208282377,-4763.83026858431
1 Jan 2020 19:40:57.000000000,-3031.81690674719,4093.50096857371,-4769.24858389841
1 Jan 2020 19:40:58.000000000,-3027.33859958274,4090.50442127903,-4774.66130461021
1 Jan 2020 19:40:59.000000000,-3022.85719469363,4087.50244398655,-4780.06842437029
1 Jan 2020 19:41:00.000000000,-3018.37269810447,4084.49503975062,-4785.46993683579
1 Jan 2020 19:41:01.000000000,-3013.88511584344,4081.48221163249,-4790.86583567041
1 Jan 2020 19:41:02.000000000,-3009.39445394149,4078.46396270092,-4796.25611454445
1 Jan 2020 19:41:03.000000000,-3004.900718433,4075.44029603167,-4801.64076713483
1 Jan 2020 19:41:04.000000000,-3000.40391535538,4072.41121470777,-4807.01978712501
1 Jan 2020 19:41:05.000000000,-2995.9040507493,4069.3767218194,-4812.39316820512
1 Jan 2020 19:41:06.000000000,-2991.40113065833,4066.33682046406,-4817.76090407185
1 Jan 2020 19:41:07.000000000,-2986.89516112918,4063.29151374646,-4823.12298842856
1 Jan 2020 19:41:08.000000000,-2982.38614821195,4060.24080477828,-4828.47941498521
1 Jan 2020 19:41:09.000000000,-2977.87409795944,4057.18469667869,-4833.83017745839
1 Jan 2020 19:41:10.000000000,-2973.35901642794,4054.12319257376,-4839.17526957137
1 Jan 2020 19:41:11.000000000,-2968.84090967645,4051.05629559702,-4844.51468505404
1 Jan 2020 19:41:12.000000000,-2964.3197837673,4047.98400888898,-4849.84841764295
1 Jan 2020 19:41:13.000000000,-2959.79564476582,4044.90633559738,-4855.17646108134
1 Jan 2020 19:41:14.000000000,-2955.26849874048,4041.8232788771,-4860.49880911911
1 Jan 2020 19:41:15.000000000,-2950.73835176253,4038.73484189036,-4865.81545551283
1 Jan 2020 19:41:16.000000000,-2946.20520990662,4035.6410278063,-4871.12639402578
1 Jan 2020 19:41:17.000000000,-2941.66907925016,4032.54183980141,-4876.43161842791
1 Jan 2020 19:41:18.000000000,-2937.12996587361,4029.43728105937,-4881.7311224959
1 Jan 2020 19:41:19.000000000,-2932.58787586069,4026.32735477079,-4887.02490001312
1 Jan 2020 19:41:20.000000000,-2928.04281529779,4023.21206413371,-4892.31294476967
1 Jan 2020 19:41:21.000000000,-2923.49479027455,4020.09141235313,-4897.59525056237
1 Jan 2020 19:41:22.000000000,-2918.94380688354,4016.96540264126,-4902.87181119477
1 Jan 2020 19:41:23.000000000,-2914.38987122039,4013.83403821739,-4908.14262047716
1 Jan 2020 19:41:24.000000000,-2909.83298938344,4010.69732230815,-4913.40767222658
1 Jan 2020 19:41:25.000000000,-2905.27316747436,4007.55525814704,-4918.66696026682
1 Jan 2020 19:41:26.000000000,-2900.71041159743,4004.40784897496,-4923.92047842844
1 Jan 2020 19:41:27.000000000,-2896.14472786021,4001.2550980397,-4929.16822054876
1 Jan 2020 19:41:28.000000000,-2891.57612237298,3998.09700859634,-4934.41018047187
1 Jan 2020 19:41:29.000000000,-2887.00460124893,3994.93358390711,-4939.64635204865
1 Jan 2020 19:41:30.000000000,-2882.43017060436,3991.76482724123,-4944.87672913678
1 Jan 2020 19:41:31.000000000,-2877.85283655842,3988.59074187509,-4950.10130560072
1 Jan 2020 19:41:32.000000000,-2873.27260523322,3985.41133109214,-4955.32007531175
1 Jan 2020 19:41:33.000000000,-2868.68948275355,3982.22659818314,-4960.53303214794
1 Jan 2020 19:41:34.000000000,-2864.10347524742,3979.0365464457,-4965.74016999421
1 Jan 2020 19:41:35.000000000,-2859.5145888454,3975.84117918477,-4970.94148274227
1 Jan 2020 19:41:36.000000000,-2854.92282968118,3972.64049971224,-4976.1369642907
1 Jan 2020 19:41:37.000000000,-2850.32820389134,3969.43451134709,-4981.32660854488
1 Jan 2020 19:41:38.000000000,-2845.73071761504,3966.22321741556,-4986.51040941708
1 Jan 2020 19:41:39.000000000,-2841.13037699467,3963.00662125076,-4991.6883608264
1 Jan 2020 19:41:40.000000000,-2836.52718817509,3959.78472619313,-4996.8604566988
1 Jan 2020 19:41:41.000000000,-2831.92115730437,3956.55753558993,-5002.02669096711
1 Jan 2020 19:41:42.000000000,-2827.31229053296,3953.32505279584,-5007.18705757105
1 Jan 2020 19:41:43.000000000,-2822.70059401474,3950.08728117214,-5012.34155045721
1 Jan 2020 19:41:44.000000000,-2818.08607390591,3946.8442240876,-5017.49016357908
1 Jan 2020 19:41:45.000000000,-2813.46873636551,3943.59588491799,-5022.63289089704
1 Jan 2020 19:41:46.000000000,-2808.84858755569,3940.34226704592,-5027.76972637837
1 Jan 2020 19:41:47.000000000,-2804.22563364101,3937.08337386136,-5032.90066399726
1 Jan 2020 19:41:48.000000000,-2799.59988078916,3933.81920876107,-5038.02569773485
1 Jan 2020 19:41:49.000000000,-2794.97133517028,3930.54977514912,-5043.14482157916
1 Jan 2020 19:41:50.000000000,-2790.34000295759,3927.27507643637,-5048.25802952517
1 Jan 2020 19:41:51.000000000,-2785.70589032666,3923.99511604105,-5053.36531557479
1 Jan 2020 19:41:52.000000000,-2781.06900345639,3920.70989738801,-5058.46667373689
1 Jan 2020 19:41:53.000000000,-2776.42934852782,3917.41942390956,-5063.56209802728
1 Jan 2020 19:41:54.000000000,-2771.78693172517,3914.12369904475,-5068.65158246873
1 Jan 2020 19:41:55.000000000,-2767.14175923511,3910.82272623984,-5073.73512109098
1 Jan 2020 19:41:56.000000000,-2762.49383724703,3907.51650894812,-5078.81270793077
1 Jan 2020 19:41:57.000000000,-2757.84317195326,3904.20505062974,-5083.88433703177
1 Jan 2020 19:41:58.000000000,-2753.18976954854,3900.88835475209,-5088.95000244469
1 Jan 2020 19:41:59.000000000,-2748.53363623058,3897.56642478937,-5094.0096982272
1 Jan 2020 19:42:00.000000000,-2743.87477819938,3894.23926422306,-5099.06341844399
1 Jan 2020 19:42:01.000000000,-2739.21320165822,3890.90687654127,-5104.11115716675
1 Jan 2020 19:42:02.000000000,-2734.54891281242,3887.56926523951,-5109.15290847421
1 Jan 2020 19:42:03.000000000,-2729.8819178704,3884.22643382001,-5114.1886664521
1 Jan 2020 19:42:04.000000000,-2725.21222304288,3880.87838579223,-5119.21842519318
1 Jan 2020 19:42:05.000000000,-2720.53983454357,3877.52512467241,-5124.24217879726
1 Jan 2020 19:42:06.000000000,-2715.86475858854,3874.16665398394,-5129.25992137118
1 Jan 2020 19:42:07.000000000,-2711.18700139652,3870.8029772572,-5134.27164702885
1 Jan 2020 19:42:08.000000000,-2706.50656918906,3867.4340980294,-5139.27734989122
1 Jan 2020 19:42:09.000000000,-2701.82346818993,3864.06001984501,-5144.27702408632
1 Jan 2020 19:42:10.000000000,-2697.13770462609,3860.68074625507,-5149.27066374925
1 Jan 2020 19:42:11.000000000,-2692.44928472648,3857.29628081802,-5154.25826302217
1 Jan 2020 19:42:12.000000000,-2687.75821472306,3853.90662709894,-5159.23981605435
1 Jan 2020 19:42:13.000000000,-2683.06450085001,3850.51178867017,-5164.21531700214
1 Jan 2020 19:42:14.000000000,-2678.36814934443,3847.11176911072,-5169.18476002899
1 Jan 2020 19:42:15.000000000,-2673.66916644565,3843.70657200684,-5174.14813930546
1 Jan 2020 19:42:16.000000000,-2668.96755839576,3840.29620095154,-5179.10544900922
1 Jan 2020 19:42:17.000000000,-2664.26333143945,3836.88065954478,-5184.05668332507
1 Jan 2020 19:42:18.000000000,-2659.55649182363,3833.45995139366,-5189.00183644491
1 Jan 2020 19:42:19.000000000,-2654.84704579811,3830.03408011197,-5193.94090256781
1 Jan 2020 19:42:20.000000000,-2650.13499961479,3826.60304932074,-5198.87387589995
1 Jan 2020 19:42:21.000000000,-2645.42035952865,3823.16686264753,-5203.80075065467
1 Jan 2020 19:42:22.000000000,-2640.70313179668,3819.7255237272,-5208.72152105247
1 Jan 2020 19:42:23.000000000,-2635.98332267845,3816.27903620145,-5213.63618132099
1 Jan 2020 19:42:24.000000000,-2631.26093843625,3812.82740371875,-5218.54472569507
1 Jan 2020 19:42:25.000000000,-2626.5359853345,3809.37062993473,-5223.4471484167
1 Jan 2020 19:42:26.000000000,-2621.80846964046,3805.90871851168,-5228.34344373505
1 Jan 2020 19:42:27.000000000,-2617.07839762347,3802.44167311906,-5233.23360590649
1 Jan 2020 19:42:28.000000000,-2612.34577555569,3798.969497433,-5238.11762919458
1 Jan 2020 19:42:29.000000000,-2607.61060971127,3795.49219513682,-5242.99550787007
1 Jan 2020 19:42:30.000000000,-2602.87290636739,3792.00976992033,-5247.86723621094
1 Jan 2020 19:42:31.000000000,-2598.1326718031,3788.52222548067,-5252.73280850237
1 Jan 2020 19:42:32.000000000,-2593.38991230024,3785.02956552157,-5257.59221903677
1 Jan 2020 19:42:33.000000000,-2588.64463414282,3781.53179375381,-5262.44546211376
1 Jan 2020 19:42:34.000000000,-2583.89684361726,3778.02891389506,-5267.29253204021
1 Jan 2020 19:42:35.000000000,-2579.14654701262,3774.52092966973,-5272.13342313024
1 Jan 2020 19:42:36.000000000,-2574.39375061999,3771.0078448093,-5276.9681297052
1 Jan 2020 19:42:37.000000000,-2569.63846073321,3767.48966305191,-5281.7966460937
1 Jan 2020 19:42:38.000000000,-2564.88068364801,3763.96638814286,-5286.61896663161
1 Jan 2020 19:42:39.000000000,-2560.12042566311,3760.4380238339,-5291.43508566208
1 Jan 2020 19:42:40.000000000,-2555.35769307898,3756.90457388407,-5296.24499753552
1 Jan 2020 19:42:41.000000000,-2550.59249219884,3753.36604205894,-5301.04869660963
1 Jan 2020 19:42:42.000000000,-2545.82482932791,3749.82243213121,-5305.8461772494
1 Jan 2020 19:42:43.000000000,-2541.05471077409,3746.27374788017,-5310.6374338271
1 Jan 2020 19:42:44.000000000,-2536.28214284732,3742.71999309212,-5315.42246072231
1 Jan 2020 19:42:45.000000000,-2531.50713185986,3739.16117156024,-5320.20125232193
1 Jan 2020 19:42:46.000000000,-2526.72968412651,3735.59728708435,-5324.97380302016
1 Jan 2020 19:42:47.000000000,-2521.94980596396,3732.02834347137,-5329.74010721852
1 Jan 2020 19:42:48.000000000,-2517.16750369174,3728.45434453469,-5334.50015932586
1 Jan 2020 19:42:49.000000000,-2512.38278363111,3724.8752940949,-5339.25395375837
1 Jan 2020 19:42:50.000000000,-2507.59565210597,3721.29119597913,-5344.00148493958
1 Jan 2020 19:42:51.000000000,-2502.80611544216,3717.70205402157,-5348.74274730035
1 Jan 2020 19:42:52.000000000,-2498.01417996812,3714.10787206296,-5353.47773527892
1 Jan 2020 19:42:53.000000000,-2493.21985201427,3710.50865395104,-5358.20644332088
1 Jan 2020 19:42:54.000000000,-2488.42313791323,3706.90440354037,-5362.92886587917
1 Jan 2020 19:42:55.000000000,-2483.62404400007,3703.29512469218,-5367.64499741412
1 Jan 2020 19:42:56.000000000,-2478.82257661193,3699.68082127454,-5372.35483239345
1 Jan 2020 19:42:57.000000000,-2474.0187420883,3696.06149716228,-5377.05836529224
1 Jan 2020 19:42:58.000000000,-2469.21254677057,3692.43715623717,-5381.75559059299
1 Jan 2020 19:42:59.000000000,-2464.4039970026,3688.80780238761,-5386.44650278557
1 Jan 2020 19:43:00.000000000,-2459.59309913032,3685.17343950881,-5391.13109636728
1 Jan 2020 19:43:01.000000000,-2454.77985950196,3681.53407150273,-5395.80936584282
