TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 19:40:00.000000000,1381.17639539127,-717.818441984596,-6802.31463841019
1 Jan 2020 19:40:01.000000000,1384.02037279229,-724.774902167987,-6800.9988192656
1 Jan 2020 19:40:02.000000000,1386.86171950279,-731.730930583223,-6799.6750221591
1 Jan 2020 19:40:03.000000000,1389.70043226844,-738.686518723507,-6798.34324864359
1 Jan 2020 19:40:04.000000000,1392.53650783915,-745.641658082237,-6797.00350028131
1 Jan 2020 19:40:05.000000000,1395.36994296925,-752.596340152644,-6795.65577864386
1 Jan 2020 19:40:06.000000000,1398.2007344173,-759.550556428237,-6794.30008531219
1 Jan 2020 19:40:07.000000000,1401.02887894624,-766.504298402441,-6792.93642187663
1 Jan 2020 19:40:08.000000000,1403.85437332331,-773.457557568888,-6791.56478993681
1 Jan 2020 19:40:09.000000000,1406.67721432013,-780.410325421177,-6790.18519110174
1 Jan 2020 19:40:10.000000000,1409.49739871259,-787.362593453138,-6788.79762698977
1 Jan 2020 19:40:11.000000000,1412.314923281,-794.314353158585,-6787.4020992286
1 Jan 2020 19:40:12.000000000,1415.12978480997,-801.265596031556,-6785.99860945526
1 Jan 2020 19:40:13.000000000,1417.94198008843,-808.21631356625,-6784.58715931611
1 Jan 2020 19:40:14.000000000,1420.75150590977,-815.166497256825,-6783.16775046688
1 Jan 2020 19:40:15.000000000,1423.55835907163,-822.116138597816,-6781.74038457261
1 Jan 2020 19:40:16.000000000,1426.36253637606,-829.065229083798,-6780.30506330769
1 Jan 2020 19:40:17.000000000,1429.16403462948,-836.013760209555,-6778.86178835582
1 Jan 2020 19:40:18.000000000,1431.96285064267,-842.961723470027,-6777.41056141005
1 Jan 2020 19:40:19.000000000,1434.75898123078,-849.909110360414,-6775.95138417276
1 Jan 2020 19:40:20.000000000,1437.5524232133,-856.855912376128,-6774.48425835565
1 Jan 2020 19:40:21.000000000,1440.34317341418,-863.802121012703,-6773.00918567973
1 Jan 2020 19:40:22.000000000,1443.13122866167,-870.747727766031,-6771.52616787534
1 Jan 2020 19:40:23.000000000,1445.9165857885,-877.692724132116,-6770.03520668217
1 Jan 2020 19:40:24.000000000,1448.69924163167,-884.637101607343,-6768.53630384918
1 Jan 2020 19:40:25.000000000,1451.47919303269,-891.580851688261,-6767.02946113469
1 Jan 2020 19:40:26.000000000,1454.25643683741,-898.523965871725,-6765.51468030629
1 Jan 2020 19:40:27.000000000,1457.0309698961,-905.466435654838,-6763.99196314092
1 Jan 2020 19:40:28.000000000,1459.80278906343,-912.408252535063,-6762.46131142481
1 Jan 2020 19:40:29.000000000,1462.57189119844,-919.349408010167,-6760.9227269535
1 Jan 2020 19:40:30.000000000,1465.33827316467,-926.289893578134,-6759.37621153184
1 Jan 2020 19:40:31.000000000,1468.10193182998,-933.229700737403,-6757.82176697399
1 Jan 2020 19:40:32.000000000,1470.86286406674,-940.168820986618,-6756.25939510339
1 Jan 2020 19:40:33.000000000,1473.62106675166,-947.107245824901,-6754.6890977528
1 Jan 2020 19:40:34.000000000,1476.37653676593,-954.044966751633,-6753.11087676426
1 Jan 2020 19:40:35.000000000,1479.12927099516,-960.981975266593,-6751.52473398912
1 Jan 2020 19:40:36.000000000,1481.87926632942,-967.918262869908,-6749.93067128802
1 Jan 2020 19:40:37.000000000,1484.62651966313,-974.853821062189,-6748.32869053088
1 Jan 2020 19:40:38.000000000,1487.37102789528,-981.788641344318,-6746.71879359692
1 Jan 2020 19:40:39.000000000,1490.1127879292,-988.722715217683,-6745.10098237463
1 Jan 2020 19:40:40.000000000,1492.85179667269,-995.656034184094,-6743.47525876182
1 Jan 2020 19:40:41.000000000,1495.58805103805,-1002.58858974569,-6741.84162466553
1 Jan 2020 19:40:42.000000000,1498.32154794196,-1009.52037340519,-6740.20008200212
1 Jan 2020 19:40:43.000000000,1501.05228430564,-1016.45137666566,-6738.55063269722
1 Jan 2020 19:40:44.000000000,1503.78025705472,-1023.38159103066,-6736.89327868572
1 Jan 2020 19:40:45.000000000,1506.50546311933,-1030.31100800419,-6735.22802191179
1 Jan 2020 19:40:46.000000000,1509.22789943402,-1037.23961909085,-6733.55486432887
1 Jan 2020 19:40:47.000000000,1511.94756293789,-1044.16741579558,-6731.87380789968
1 Jan 2020 19:40:48.000000000,1514.66445057441,-1051.09438962396,-6730.18485459619
1 Jan 2020 19:40:49.000000000,1517.37855929165,-1058.02053208197,-6728.48800639964
1 Jan 2020 19:40:50.000000000,1520.08988604208,-1064.94583467619,-6726.78326530052
1 Jan 2020 19:40:51.000000000,1522.79842778266,-1071.87028891377,-6725.07063329861
1 Jan 2020 19:40:52.000000000,1525.50418147488,-1078.79388630231,-6723.35011240291
1 Jan 2020 19:40:53.000000000,1528.20714408471,-1085.71661835001,-6721.62170463169
1 Jan 2020 19:40:54.000000000,1530.90731258264,-1092.63847656561,-6719.88541201248
1 Jan 2020 19:40:55.000000000,1533.6046839436,-1099.55945245853,-6718.14123658205
1 Jan 2020 19:40:56.000000000,1536.29925514706,-1106.47953753867,-6716.38918038641
1 Jan 2020 19:40:57.000000000,1538.99102317705,-1113.39872331654,-6714.62924548082
1 Jan 2020 19:40:58.000000000,1541.67998502199,-1120.31700130335,-6712.8614339298
1 Jan 2020 19:40:59.000000000,1544.36613767495,-1127.23436301082,-6711.08574780708
1 Jan 2020 19:41:00.000000000,1547.0494781334,-1134.1507999514,-6709.30218919565
1 Jan 2020 19:41:01.000000000,1549.73000339942,-1141.06630363808,-6707.51076018773
1 Jan 2020 19:41:02.000000000,1552.40771047955,-1147.98086558463,-6705.71146288475
1 Jan 2020 19:41:03.000000000,1555.08259638491,-1154.89447730536,-6703.90429939741
1 Jan 2020 19:41:04.000000000,1557.75465813113,-1161.80713031532,-6702.08927184561
1 Jan 2020 19:41:05.000000000,1560.42389273839,-1168.7188161302,-6700.26638235848
1 Jan 2020 19:41:06.000000000,1563.09029723139,-1175.62952626643,-6698.43563307437
1 Jan 2020 19:41:07.000000000,1565.75386863933,-1182.53925224118,-6696.59702614086
1 Jan 2020 19:41:08.000000000,1568.41460399607,-1189.44798557222,-6694.75056371474
1 Jan 2020 19:41:09.000000000,1571.07250033989,-1196.35571777817,-6692.89624796202
1 Jan 2020 19:41:10.000000000,1573.72755471374,-1203.26244037828,-6691.03408105791
1 Jan 2020 19:41:11.000000000,1576.37976416501,-1210.16814489266,-6689.16406518684
1 Jan 2020 19:41:12.000000000,1579.02912574575,-1217.07282284208,-6687.28620254245
1 Jan 2020 19:41:13.000000000,1581.67563651251,-1223.97646574812,-6685.40049532758
1 Jan 2020 19:41:14.000000000,1584.31929352646,-1230.87906513311,-6683.50694575428
1 Jan 2020 19:41:15.000000000,1586.96009385324,-1237.78061252026,-6681.60555604378
1 Jan 2020 19:41:16.000000000,1589.5980345632,-1244.68109943345,-6679.69632842652
1 Jan 2020 19:41:17.000000000,1592.23311273116,-1251.58051739747,-6677.77926514214
1 Jan 2020 19:41:18.000000000,1594.86532543651,-1258.47885793794,-6675.85436843947
1 Jan 2020 19:41:19.000000000,1597.49466976332,-1265.37611258121,-6673.92164057651
