TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 19:40:00.000000000,-77.1878814545065,-47.2953647227958,620.325261761854
1 Jan 2020 19:40:01.000000000,-77.1399176366483,-47.4742940230239,620.317451651197
1 Jan 2020 19:40:02.000000000,-77.0918387977282,-47.6519456923955,620.309595565124
1 Jan 2020 19:40:03.000000000,-77.0436462133412,-47.8283309480415,620.301693540048
1 Jan 2020 19:40:04.000000000,-76.9953411431538,-48.0034609295475,620.293745612597
1 Jan 2020 19:40:05.000000000,-76.9469248310881,-48.1773466982395,620.285751819605
1 Jan 2020 19:40:06.000000000,-76.8983985055061,-48.3499992365615,620.277712198135
1 Jan 2020 19:40:07.000000000,-76.8497633793932,-48.5214294474794,620.269626785444
1 Jan 2020 19:40:08.000000000,-76.80102065054,-48.6916481539666,620.261495619015
1 Jan 2020 19:40:09.000000000,-76.7521715017234,-48.8606660985215,620.25331873654
1 Jan 2020 19:40:10.000000000,-76.7032171008867,-49.028493942758,620.245096175918
1 Jan 2020 19:40:11.000000000,-76.6541586013185,-49.1951422670243,620.236827975266
1 Jan 2020 19:40:12.000000000,-76.6049971418306,-49.3606215700892,620.228514172912
1 Jan 2020 19:40:13.000000000,-76.5557338469339,-49.5249422688625,620.220154807392
1 Jan 2020 19:40:14.000000000,-76.5063698270142,-49.6881146981539,620.21174991746
1 Jan 2020 19:40:15.000000000,-76.4569061785057,-49.8501491104986,620.203299542078
1 Jan 2020 19:40:16.000000000,-76.4073439840641,-50.0110556759939,620.194803720416
1 Jan 2020 19:40:17.000000000,-76.3576843127368,-50.1708444821946,620.186262491863
1 Jan 2020 19:40:18.000000000,-76.3079282201338,-50.3295255340374,620.177675896012
1 Jan 2020 19:40:19.000000000,-76.2580767485951,-50.4871087538071,620.169043972667
1 Jan 2020 19:40:20.000000000,-76.2081309273587,-50.6436039811307,620.160366761848
1 Jan 2020 19:40:21.000000000,-76.1580917727248,-50.7990209730034,620.151644303779
1 Jan 2020 19:40:22.000000000,-76.1079602882207,-50.9533694038585,620.1428766389
1 Jan 2020 19:40:23.000000000,-76.0577374647627,-51.1066588656485,620.134063807855
1 Jan 2020 19:40:24.000000000,-76.0074242808174,-51.2588988679751,620.125205851505
1 Jan 2020 19:40:25.000000000,-75.9570217025605,-51.4100988382276,620.116302810914
1 Jan 2020 19:40:26.000000000,-75.9065306840354,-51.5602681217613,620.107354727356
1 Jan 2020 19:40:27.000000000,-75.8559521673086,-51.7094159820938,620.098361642322
1 Jan 2020 19:40:28.000000000,-75.8052870826249,-51.8575516011311,620.089323597504
1 Jan 2020 19:40:29.000000000,-75.7545363485603,-52.0046840794096,620.080240634805
1 Jan 2020 19:40:30.000000000,-75.7037008721735,-52.1508224363596,620.071112796334
1 Jan 2020 19:40:31.000000000,-75.6527815491557,-52.2959756106008,620.06194012442
1 Jan 2020 19:40:32.000000000,-75.6017792639789,-52.4401524602389,620.052722661584
1 Jan 2020 19:40:33.000000000,-75.5506948900426,-52.5833617632015,620.043460450566
1 Jan 2020 19:40:34.000000000,-75.4995292898188,-52.7256122175712,620.034153534313
1 Jan 2020 19:40:35.000000000,-75.4482833149957,-52.866912441951,620.024801955975
1 Jan 2020 19:40:36.000000000,-75.3969578066189,-53.0072709758363,620.015405758917
1 Jan 2020 19:40:37.000000000,-75.3455535952325,-53.1466962800108,620.005964986701
1 Jan 2020 19:40:38.000000000,-75.2940715010168,-53.2851967369418,619.996479683106
1 Jan 2020 19:40:39.000000000,-75.2425123339261,-53.4227806512065,619.986949892113
1 Jan 2020 19:40:40.000000000,-75.1908768938236,-53.5594562499186,619.977375657909
1 Jan 2020 19:40:41.000000000,-75.1391659706155,-53.6952316831667,619.967757024895
1 Jan 2020 19:40:42.000000000,-75.0873803443829,-53.8301150244757,619.95809403767
1 Jan 2020 19:40:43.000000000,-75.0355207855131,-53.9641142712623,619.948386741041
1 Jan 2020 19:40:44.000000000,-74.9835880548277,-54.0972373453127,619.938635180023
1 Jan 2020 19:40:45.000000000,-74.9315829037111,-54.2294920932625,619.928839399835
1 Jan 2020 19:40:46.000000000,-74.8795060742356,-54.3608862870933,619.918999445904
1 Jan 2020 19:40:47.000000000,-74.8273582992863,-54.4914276246219,619.90911536386
1 Jan 2020 19:40:48.000000000,-74.7751403026838,-54.6211237300171,619.89918719954
1 Jan 2020 19:40:49.000000000,-74.7228527993054,-54.7499821543025,619.889214998986
1 Jan 2020 19:40:50.000000000,-74.670496495205,-54.8780103758843,619.879198808442
1 Jan 2020 19:40:51.000000000,-74.6180720877313,-55.0052158010732,619.869138674359
1 Jan 2020 19:40:52.000000000,-74.5655802656445,-55.1316057646115,619.859034643396
1 Jan 2020 19:40:53.000000000,-74.5130217092318,-55.2571875302125,619.848886762403
1 Jan 2020 19:40:54.000000000,-74.4603970904208,-55.3819682910977,619.838695078451
1 Jan 2020 19:40:55.000000000,-74.4077070728921,-55.5059551705447,619.828459638802
1 Jan 2020 19:40:56.000000000,-74.3549523121902,-55.6291552224275,619.818180490931
1 Jan 2020 19:40:57.000000000,-74.3021334558327,-55.7515754317699,619.807857682507
1 Jan 2020 19:40:58.000000000,-74.2492511434183,-55.8732227153025,619.797491261411
1 Jan 2020 19:40:59.000000000,-74.1963060067334,-55.9941039220094,619.787081275721
1 Jan 2020 19:41:00.000000000,-74.1432986698576,-56.1142258336957,619.776627773716
1 Jan 2020 19:41:01.000000000,-74.0902297492666,-56.2335951655362,619.766130803883
1 Jan 2020 19:41:02.000000000,-74.0370998539356,-56.3522185666468,619.75559041491
1 Jan 2020 19:41:03.000000000,-73.9839095854394,-56.4701026206371,619.745006655684
1 Jan 2020 19:41:04.000000000,-73.9306595380529,-56.5872538461775,619.734379575297
1 Jan 2020 19:41:05.000000000,-73.8773502988485,-56.7036786975608,619.723709223048
1 Jan 2020 19:41:06.000000000,-73.823982447794,-56.8193835652682,619.712995648415
1 Jan 2020 19:41:07.000000000,-73.7705565578476,-56.9343747765313,619.702238901109
1 Jan 2020 19:41:08.000000000,-73.7170731950526,-57.0486585958904,619.691439031013
1 Jan 2020 19:41:09.000000000,-73.6635329186305,-57.1622412257668,619.680596088233
1 Jan 2020 19:41:10.000000000,-73.6099362810727,-57.2751288070144,619.669710123063
1 Jan 2020 19:41:11.000000000,-73.5562838282311,-57.3873274194911,619.658781185999
1 Jan 2020 19:41:12.000000000,-73.5025760994074,-57.4988430826097,619.647809327737
1 Jan 2020 19:41:13.000000000,-73.4488136274416,-57.6096817559022,619.636794599177
1 Jan 2020 19:41:14.000000000,-73.3949969387981,-57.7198493395744,619.625737051416
1 Jan 2020 19:41:15.000000000,-73.3411265536521,-57.8293516750665,619.614636735744
1 Jan 2020 19:41:16.000000000,-73.2872029859739,-57.9381945455982,619.603493703665
1 Jan 2020 19:41:17.000000000,-73.2332267436121,-58.0463836767299,619.592308006866
1 Jan 2020 19:41:18.000000000,-73.1791983283758,-58.1539247369082,619.581079697245
1 Jan 2020 19:41:19.000000000,-73.1251182361159,-58.2608233380099,619.569808826884
1 Jan 2020 19:41:20.000000000,-73.0709869568046,-58.3670850358964,619.558495448082
1 Jan 2020 19:41:21.000000000,-73.0168049746147,-58.4727153309473,619.547139613324
1 Jan 2020 19:41:22.000000000,-72.9625727679967,-58.5777196686054,619.535741375289
1 Jan 2020 19:41:23.000000000,-72.9082908097559,-58.6821034399121,619.524300786865
1 Jan 2020 19:41:24.000000000,-72.8539595671276,-58.7858719820468,619.512817901132
1 Jan 2020 19:41:25.000000000,-72.7995795018521,-58.8890305788493,619.501292771362
1 Jan 2020 19:41:26.000000000,-72.7451510702472,-58.9915844613594,619.489725451032
1 Jan 2020 19:41:27.000000000,-72.6906747232816,-59.0935388083313,619.478115993809
1 Jan 2020 19:41:28.000000000,-72.6361509066455,-59.1948987467656,619.46646445356
1 Jan 2020 19:41:29.000000000,-72.5815800608218,-59.295669352424,619.45477088435
1 Jan 2020 19:41:30.000000000,-72.5269626211543,-59.3958556503428,619.443035340433
1 Jan 2020 19:41:31.000000000,-72.4722990179174,-59.4954626153486,619.431257876266
1 Jan 2020 19:41:32.000000000,-72.4175896763825,-59.5944951725651,619.419438546494
1 Jan 2020 19:41:33.000000000,-72.3628350168852,-59.692958197923,619.407577405963
1 Jan 2020 19:41:34.000000000,-72.3080354548904,-59.7908565186529,619.39567450971
1 Jan 2020 19:41:35.000000000,-72.253191401057,-59.8881949137939,619.383729912972
1 Jan 2020 19:41:36.000000000,-72.1983032613017,-59.9849781146785,619.371743671172
1 Jan 2020 19:41:37.000000000,-72.143371436862,-60.0812108054273,619.359715839935
1 Jan 2020 19:41:38.000000000,-72.0883963243575,-60.1768976234399,619.347646475075
1 Jan 2020 19:41:39.000000000,-72.0333783158514,-60.272043159869,619.335535632601
