TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 19:40:00.000000000,1055.6244755058,-1143.78360901378,-6802.33871644403
1 Jan 2020 19:40:01.000000000,1055.91729573179,-1151.29408329707,-6801.02614236326
1 Jan 2020 19:40:02.000000000,1056.20778767106,-1158.80325570415,-6799.70559028855
1 Jan 2020 19:40:03.000000000,1056.49595117498,-1166.31111712663,-6798.37706176897
1 Jan 2020 19:40:04.000000000,1056.78178609884,-1173.81765845777,-6797.04055836298
1 Jan 2020 19:40:05.000000000,1057.06529230214,-1181.32287059217,-6795.69608163836
1 Jan 2020 19:40:06.000000000,1057.34646964825,-1188.82674442612,-6794.34363317226
1 Jan 2020 19:40:07.000000000,1057.62531800475,-1196.32927085735,-6792.98321455118
1 Jan 2020 19:40:08.000000000,1057.90183724312,-1203.83044078523,-6791.61482737098
1 Jan 2020 19:40:09.000000000,1058.17602723901,-1211.33024511061,-6790.23847323684
1 Jan 2020 19:40:10.000000000,1058.44788787201,-1218.828674736,-6788.85415376331
1 Jan 2020 19:40:11.000000000,1058.71741902587,-1226.32572056541,-6787.46187057429
1 Jan 2020 19:40:12.000000000,1058.9846205883,-1233.82137350452,-6786.06162530298
1 Jan 2020 19:40:13.000000000,1059.24949245102,-1241.31562446065,-6784.65341959197
1 Jan 2020 19:40:14.000000000,1059.51203450997,-1248.80846434259,-6783.23725509315
1 Jan 2020 19:40:15.000000000,1059.77224666496,-1256.29988406092,-6781.81313346778
1 Jan 2020 19:40:16.000000000,1060.03012881992,-1263.78987452779,-6780.38105638642
1 Jan 2020 19:40:17.000000000,1060.28568088283,-1271.27842665703,-6778.94102552899
1 Jan 2020 19:40:18.000000000,1060.53890276573,-1278.76553136409,-6777.49304258473
1 Jan 2020 19:40:19.000000000,1060.78979438465,-1286.25117956616,-6776.0371092522
1 Jan 2020 19:40:20.000000000,1061.03835565967,-1293.73536218212,-6774.57322723929
1 Jan 2020 19:40:21.000000000,1061.284586515,-1301.21807013247,-6773.10139826323
1 Jan 2020 19:40:22.000000000,1061.52848687878,-1308.69929433953,-6771.62162405054
1 Jan 2020 19:40:23.000000000,1061.7700566833,-1316.17902572723,-6770.1339063371
