TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 19:40:00.000000000,-77.3908388346246,115.815325837132,620.358008996247
1 Jan 2020 19:40:01.000000000,-77.438591029011,115.631787435553,620.365642946921
1 Jan 2020 19:40:02.000000000,-77.4862229332299,115.446904727455,620.373230723298
1 Jan 2020 19:40:03.000000000,-77.5337331733515,115.260665749527,620.380772290205
1 Jan 2020 19:40:04.000000000,-77.5811203579408,115.073058461345,620.388267612688
1 Jan 2020 19:40:05.000000000,-77.6283830778592,114.88407074656,620.395716656011
1 Jan 2020 19:40:06.000000000,-77.6755199060657,114.693690414141,620.403119385653
1 Jan 2020 19:40:07.000000000,-77.722529397418,114.501905199731,620.410475767297
1 Jan 2020 19:40:08.000000000,-77.7694100884727,114.308702767065,620.417785766855
1 Jan 2020 19:40:09.000000000,-77.8161604972864,114.11407070951,620.425049350448
1 Jan 2020 19:40:10.000000000,-77.8627791232166,113.917996551669,620.432266484411
1 Jan 2020 19:40:11.000000000,-77.9092644467228,113.720467751111,620.439437135301
1 Jan 2020 19:40:12.000000000,-77.9556149291677,113.521471700186,620.446561269881
1 Jan 2020 19:40:13.000000000,-78.0018290126194,113.320995727945,620.453638855139
1 Jan 2020 19:40:14.000000000,-78.0479051196542,113.119027102192,620.460669858272
1 Jan 2020 19:40:15.000000000,-78.0938416531594,112.915553031607,620.467654246697
1 Jan 2020 19:40:16.000000000,-78.1396369961386,112.710560668024,620.474591988051
1 Jan 2020 19:40:17.000000000,-78.1852895115164,112.504037108807,620.481483050179
1 Jan 2020 19:40:18.000000000,-78.2307975419459,112.295969399358,620.488327401146
1 Jan 2020 19:40:19.000000000,-78.2761594096167,112.08634453574,620.495125009237
1 Jan 2020 19:40:20.000000000,-78.3213734160653,111.875149467448,620.50187584295
1 Jan 2020 19:40:21.000000000,-78.3664378419866,111.662371100304,620.508579870999
1 Jan 2020 19:40:22.000000000,-78.4113509470482,111.447996299486,620.515237062323
1 Jan 2020 19:40:23.000000000,-78.4561109697071,111.232011892717,620.521847386068
1 Jan 2020 19:40:24.000000000,-78.500716127028,111.014404673578,620.528410811603
1 Jan 2020 19:40:25.000000000,-78.5451646145052,110.795161404989,620.534927308518
1 Jan 2020 19:40:26.000000000,-78.5894546058877,110.574268822841,620.54139684661
1 Jan 2020 19:40:27.000000000,-78.6335842530067,110.351713639781,620.547819395904
1 Jan 2020 19:40:28.000000000,-78.6775516856074,110.127482549162,620.554194926641
1 Jan 2020 19:40:29.000000000,-78.7213550111841,109.901562229167,620.560523409273
1 Jan 2020 19:40:30.000000000,-78.7649923148202,109.673939347104,620.566804814481
1 Jan 2020 19:40:31.000000000,-78.808461659031,109.444600563861,620.573039113157
1 Jan 2020 19:40:32.000000000,-78.8517610836136,109.21353253857,620.579226276411
1 Jan 2020 19:40:33.000000000,-78.8948886054991,108.980721933425,620.585366275574
1 Jan 2020 19:40:34.000000000,-78.9378422186125,108.746155418714,620.591459082207
1 Jan 2020 19:40:35.000000000,-78.9806198937366,108.50981967803,620.597504668064
1 Jan 2020 19:40:36.000000000,-79.0232195783828,108.271701413684,620.603503005141
1 Jan 2020 19:40:37.000000000,-79.0656391966682,108.031787352318,620.609454065642
1 Jan 2020 19:40:38.000000000,-79.1078766491991,107.790064250732,620.615357821993
1 Jan 2020 19:40:39.000000000,-79.1499298129618,107.546518901907,620.621214246843
1 Jan 2020 19:40:40.000000000,-79.1917965412213,107.301138141259,620.627023313052
1 Jan 2020 19:40:41.000000000,-79.2334746634272,107.053908853101,620.632784993709
1 Jan 2020 19:40:42.000000000,-79.2749619851288,106.804817977329,620.638499262116
1 Jan 2020 19:40:43.000000000,-79.316256287898,106.553852516339,620.644166091801
1 Jan 2020 19:40:44.000000000,-79.3573553292626,106.300999542172,620.649785456502
1 Jan 2020 19:40:45.000000000,-79.3982568426482,106.046246203893,620.655357330189
1 Jan 2020 19:40:46.000000000,-79.438958537331,105.789579735205,620.660881687043
1 Jan 2020 19:40:47.000000000,-79.4794580984008,105.530987462316,620.666358501471
1 Jan 2020 19:40:48.000000000,-79.5197531867352,105.270456812034,620.671787748098
