TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 19:40:00.000000000,-59.3027992467949,120.701758031626,615.779376023904
1 Jan 2020 19:40:01.000000000,-59.3623363417874,120.664606690012,615.798946725906
1 Jan 2020 19:40:02.000000000,-59.4218644222201,120.627339825558,615.818492470375
1 Jan 2020 19:40:03.000000000,-59.4813834399728,120.589956774245,615.838013166208
1 Jan 2020 19:40:04.000000000,-59.5408933465542,120.552456867138,615.857508722418
1 Jan 2020 19:40:05.000000000,-59.6003940930981,120.514839430362,615.876979048142
1 Jan 2020 19:40:06.000000000,-59.65988563036,120.477103785036,615.89642405263
1 Jan 2020 19:40:07.000000000,-59.7193679087137,120.439249247249,615.915843645257
1 Jan 2020 19:40:08.000000000,-59.7788408781472,120.401275127994,615.935237735521
1 Jan 2020 19:40:09.000000000,-59.8383044882592,120.36318073314,615.954606233034
1 Jan 2020 19:40:10.000000000,-59.8977586882556,120.324965363372,615.973949047533
1 Jan 2020 19:40:11.000000000,-59.9572034269453,120.286628314153,615.99326608888
1 Jan 2020 19:40:12.000000000,-60.016638652737,120.248168875671,616.012557267057
1 Jan 2020 19:40:13.000000000,-60.0760643136346,120.209586332788,616.031822492164
1 Jan 2020 19:40:14.000000000,-60.1354803572339,120.170879965007,616.05106167443
1 Jan 2020 19:40:15.000000000,-60.1948867307184,120.132049046402,616.070274724208
1 Jan 2020 19:40:16.000000000,-60.2542833808553,120.093092845584,616.089461551969
1 Jan 2020 19:40:17.000000000,-60.3136702539918,120.054010625641,616.108622068313
1 Jan 2020 19:40:18.000000000,-60.3730472960503,120.014801644097,616.127756183965
1 Jan 2020 19:40:19.000000000,-60.4324144525251,119.97546515285,616.146863809771
1 Jan 2020 19:40:20.000000000,-60.4917716684777,119.936000398127,616.165944856707
1 Jan 2020 19:40:21.000000000,-60.5511188885329,119.896406620435,616.184999235872
1 Jan 2020 19:40:22.000000000,-60.6104560568743,119.856683054495,616.204026858496
1 Jan 2020 19:40:23.000000000,-60.6697831172401,119.816828929206,616.223027635926
1 Jan 2020 19:40:24.000000000,-60.7291000129188,119.776843467574,616.242001479648
1 Jan 2020 19:40:25.000000000,-60.7884066867445,119.736725886672,616.260948301267
1 Jan 2020 19:40:26.000000000,-60.8477030810929,119.696475397576,616.27986801252
1 Jan 2020 19:40:27.000000000,-60.9069891378764,119.656091205312,616.298760525272
1 Jan 2020 19:40:28.000000000,-60.9662647985398,119.615572508797,616.317625751517
