TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 19:40:00.000000000,-2770.99304869579,2262.88978902806,-5991.27059291776
1 Jan 2020 19:40:01.000000000,-2764.69380378673,2260.72420240492,-5994.99710114466
1 Jan 2020 19:40:02.000000000,-2758.391646528,2258.55505693524,-5998.7165768959
1 Jan 2020 19:40:03.000000000,-2752.08658479788,2256.38235472773,-6002.42901580834
1 Jan 2020 19:40:04.000000000,-2745.77862647743,2254.20609789671,-6006.13441352705
1 Jan 2020 19:40:05.000000000,-2739.46777945119,2252.02628856136,-6009.8327657054
1 Jan 2020 19:40:06.000000000,-2733.15405160637,2249.84292884659,-6013.52406800502
1 Jan 2020 19:40:07.000000000,-2726.83745083351,2247.65602088232,-6017.20831609578
1 Jan 2020 19:40:08.000000000,-2720.517985026,2245.46556680397,-6020.88550565586
1 Jan 2020 19:40:09.000000000,-2714.19566208042,2243.27156875204,-6024.55563237169
1 Jan 2020 19:40:10.000000000,-2707.87048989623,2241.07402887257,-6028.21869193802
1 Jan 2020 19:40:11.000000000,-2701.54247637606,2238.87294931661,-6031.87468005786
1 Jan 2020 19:40:12.000000000,-2695.21162942543,2236.66833224071,-6035.52359244254
1 Jan 2020 19:40:13.000000000,-2688.87795695276,2234.46017980675,-6039.16542481165
1 Jan 2020 19:40:14.000000000,-2682.5414668698,2232.24849418153,-6042.80017289313
1 Jan 2020 19:40:15.000000000,-2676.20216709089,2230.03327753755,-6046.42783242321
1 Jan 2020 19:40:16.000000000,-2669.86006553355,2227.81453205237,-6050.04839914644
1 Jan 2020 19:40:17.000000000,-2663.51517011821,2225.59225990885,-6053.66186881568
1 Jan 2020 19:40:18.000000000,-2657.16748876827,2223.36646329508,-6057.26823719212
1 Jan 2020 19:40:19.000000000,-2650.81702940998,2221.13714440456,-6060.8675000453
1 Jan 2020 19:40:20.000000000,-2644.46379997252,2218.90430543603,-6064.45965315306
1 Jan 2020 19:40:21.000000000,-2638.10780838812,2216.66794859332,-6068.0446923016
