TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 19:40:00.000000000,-667.241423147349,1379.31349498576,-6807.83953663388
1 Jan 2020 19:40:01.000000000,-660.351280250402,1376.29940049094,-6809.12124562699
1 Jan 2020 19:40:02.000000000,-653.460806007842,1373.28269393795,-6810.3949671301
1 Jan 2020 19:40:03.000000000,-646.570008846707,1370.26337880178,-6811.66069964907
1 Jan 2020 19:40:04.000000000,-639.678897193751,1367.24145856176,-6812.91844169911
1 Jan 2020 19:40:05.000000000,-632.787479475803,1364.2169367014,-6814.16819180482
1 Jan 2020 19:40:06.000000000,-625.895764119327,1361.18981670858,-6815.40994850018
1 Jan 2020 19:40:07.000000000,-619.003759550778,1358.16010207537,-6816.64371032853
1 Jan 2020 19:40:08.000000000,-612.111474196318,1355.12779629814,-6817.8694758426
1 Jan 2020 19:40:09.000000000,-605.218916482046,1352.09290287747,-6819.0872436045
1 Jan 2020 19:40:10.000000000,-598.326094833749,1349.05542531826,-6820.29701218571
1 Jan 2020 19:40:11.000000000,-591.433017677132,1346.01536712957,-6821.4987801671
1 Jan 2020 19:40:12.000000000,-584.539693437593,1342.97273182478,-6822.69254613894
1 Jan 2020 19:40:13.000000000,-577.646130540279,1339.9275229215,-6823.87830870087
1 Jan 2020 19:40:14.000000000,-570.752337410281,1336.87974394148,-6825.05606646192
1 Jan 2020 19:40:15.000000000,-563.858322472235,1333.82939841082,-6826.2258180405
1 Jan 2020 19:40:16.000000000,-556.964094150642,1330.77648985979,-6827.38756206445
1 Jan 2020 19:40:17.000000000,-550.069660869706,1327.72102182288,-6828.54129717096
1 Jan 2020 19:40:18.000000000,-543.175031053385,1324.66299783879,-6829.68702200663
1 Jan 2020 19:40:19.000000000,-536.28021312529,1321.60242145046,-6830.82473522748
1 Jan 2020 19:40:20.000000000,-529.385215508736,1318.53929620504,-6831.95443549888
1 Jan 2020 19:40:21.000000000,-522.490046626817,1315.47362565385,-6833.07612149564
1 Jan 2020 19:40:22.000000000,-515.594714902194,1312.40541335245,-6834.18979190197
1 Jan 2020 19:40:23.000000000,-508.699228757313,1309.33466286056,-6835.29544541145
1 Jan 2020 19:40:24.000000000,-501.803596614166,1306.26137774214,-6836.39308072709
1 Jan 2020 19:40:25.000000000,-494.907826894482,1303.18556156529,-6837.48269656131
1 Jan 2020 19:40:26.000000000,-488.011928019603,1300.10721790231,-6838.56429163592
1 Jan 2020 19:40:27.000000000,-481.115908410526,1297.02635032968,-6839.63786468214
1 Jan 2020 19:40:28.000000000,-474.219776487812,1293.94296242806,-6840.70341444063
1 Jan 2020 19:40:29.000000000,-467.323540671629,1290.85705778229,-6841.76093966142
1 Jan 2020 19:40:30.000000000,-460.427209381831,1287.76863998136,-6842.81043910398
1 Jan 2020 19:40:31.000000000,-453.530791037744,1284.67771261843,-6843.85191153718
1 Jan 2020 19:40:32.000000000,-446.634294058386,1281.58427929081,-6844.88535573932
