TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 19:40:00.000000000,-77.1870000132625,-27.4615879464491,620.325118478797
1 Jan 2020 19:40:01.000000000,-77.138921066741,-27.639862967743,620.317289088368
1 Jan 2020 19:40:02.000000000,-77.0907279498996,-27.816862214527,620.309413730262
1 Jan 2020 19:40:03.000000000,-77.0424219317495,-27.9925969495024,620.301492440978
1 Jan 2020 19:40:04.000000000,-76.9940042653837,-28.1670783559751,620.293525257236
1 Jan 2020 19:40:05.000000000,-76.9454761881634,-28.3403175371886,620.285512215959
1 Jan 2020 19:40:06.000000000,-76.896838921904,-28.5123255157498,620.277453354296
1 Jan 2020 19:40:07.000000000,-76.8480936730598,-28.6831132330787,620.269348709598
1 Jan 2020 19:40:08.000000000,-76.799241632908,-28.8526915489401,620.261198319434
1 Jan 2020 19:40:09.000000000,-76.750283977731,-29.0210712410056,620.253002221585
1 Jan 2020 19:40:10.000000000,-76.7012218689982,-29.1882630044878,620.244760454039
1 Jan 2020 19:40:11.000000000,-76.6520564535464,-29.3542774518019,620.236473055007
1 Jan 2020 19:40:12.000000000,-76.6027888637583,-29.5191251122945,620.228140062901
1 Jan 2020 19:40:13.000000000,-76.5534202177407,-29.6828164320045,620.219761516349
1 Jan 2020 19:40:14.000000000,-76.5039516195011,-29.8453617734624,620.211337454191
1 Jan 2020 19:40:15.000000000,-76.454384159122,-30.0067714155554,620.202867915481
1 Jan 2020 19:40:16.000000000,-76.4047189129356,-30.1670555534022,620.194352939476
1 Jan 2020 19:40:17.000000000,-76.3549569436947,-30.3262242982867,620.185792565654
1 Jan 2020 19:40:18.000000000,-76.3050993007449,-30.4842876776185,620.177186833697
1 Jan 2020 19:40:19.000000000,-76.255147020193,-30.6412556349351,620.168535783498
1 Jan 2020 19:40:20.000000000,-76.2051011250749,-30.7971380299321,620.159839455165
1 Jan 2020 19:40:21.000000000,-76.1549626255222,-30.9519446385225,620.151097889014
1 Jan 2020 19:40:22.000000000,-76.1047325189267,-31.1056851529409,620.142311125568
1 Jan 2020 19:40:23.000000000,-76.0544117901035,-31.258369181857,620.133479205566
1 Jan 2020 19:40:24.000000000,-76.0040014114528,-31.4100062505378,620.124602169952
1 Jan 2020 19:40:25.000000000,-75.9535023431198,-31.5606058010173,620.115680059882
1 Jan 2020 19:40:26.000000000,-75.9029155331532,-31.7101771923056,620.106712916722
1 Jan 2020 19:40:27.000000000,-75.8522419176618,-31.8587297006148,620.09770078204
1 Jan 2020 19:40:28.000000000,-75.80148242097,-32.0062725196141,620.088643697627
1 Jan 2020 19:40:29.000000000,-75.7506379557712,-32.1528147607006,620.079541705467
1 Jan 2020 19:40:30.000000000,-75.6997094232795,-32.2983654532899,620.070394847767
1 Jan 2020 19:40:31.000000000,-75.6486977133806,-32.4429335451393,620.061203166936
