TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 19:40:00.000000000,-39.8114871903237,127.640508817039,608.726019244098
1 Jan 2020 19:40:01.000000000,-39.8725831822743,127.621721273606,608.748422079753
1 Jan 2020 19:40:02.000000000,-39.9336765524384,127.602907869482,608.77083296604
1 Jan 2020 19:40:03.000000000,-39.9947672933619,127.58406850343,608.793251797578
1 Jan 2020 19:40:04.000000000,-40.0558553975603,127.565203073739,608.815678468956
1 Jan 2020 19:40:05.000000000,-40.1169408575196,127.546311478238,608.838112874717
1 Jan 2020 19:40:06.000000000,-40.1780236656952,127.52739361427,608.860554909382
1 Jan 2020 19:40:07.000000000,-40.2391038145121,127.508449378713,608.883004467438
1 Jan 2020 19:40:08.000000000,-40.3001812963646,127.489478667956,608.905461443331
1 Jan 2020 19:40:09.000000000,-40.3612561036161,127.470481377912,608.927925731487
1 Jan 2020 19:40:10.000000000,-40.422328228599,127.451457404006,608.950397226295
1 Jan 2020 19:40:11.000000000,-40.4833976636143,127.432406641178,608.972875822107
1 Jan 2020 19:40:12.000000000,-40.5444644009314,127.413328983874,608.995361413253
1 Jan 2020 19:40:13.000000000,-40.6055284327881,127.394224326043,609.017853894034
1 Jan 2020 19:40:14.000000000,-40.6665897513902,127.375092561148,609.040353158714
1 Jan 2020 19:40:15.000000000,-40.7276483489111,127.35593358214,609.062859101531
1 Jan 2020 19:40:16.000000000,-40.788704217492,127.336747281474,609.0853716167
1 Jan 2020 19:40:17.000000000,-40.8497573492416,127.317533551097,609.107890598402
1 Jan 2020 19:40:18.000000000,-40.9108077362353,127.298292282447,609.130415940791
1 Jan 2020 19:40:19.000000000,-40.971855370516,127.27902336645,609.152947537995
1 Jan 2020 19:40:20.000000000,-41.0329002440927,127.259726693513,609.175485284121
1 Jan 2020 19:40:21.000000000,-41.0939423489413,127.240402153532,609.198029073237
1 Jan 2020 19:40:22.000000000,-41.1549816770037,127.221049635874,609.220578799402
1 Jan 2020 19:40:23.000000000,-41.216018220188,127.201669029385,609.243134356636
1 Jan 2020 19:40:24.000000000,-41.2770519703678,127.182260222381,609.265695638941
1 Jan 2020 19:40:25.000000000,-41.3380829193824,127.162823102649,609.288262540298
1 Jan 2020 19:40:26.000000000,-41.3991110590364,127.143357557438,609.310834954659
1 Jan 2020 19:40:27.000000000,-41.4601363810993,127.123863473465,609.333412775957
1 Jan 2020 19:40:28.000000000,-41.5211588773057,127.104340736898,609.355995898092
1 Jan 2020 19:40:29.000000000,-41.5821785393544,127.084789233365,609.378584214965
1 Jan 2020 19:40:30.000000000,-41.6431953589088,127.065208847947,609.401177620431
1 Jan 2020 19:40:31.000000000,-41.7042093275962,127.045599465169,609.423776008335
1 Jan 2020 19:40:32.000000000,-41.7652204370078,127.025960969009,609.446379272506
1 Jan 2020 19:40:33.000000000,-41.8262286786985,127.006293242877,609.468987306746
1 Jan 2020 19:40:34.000000000,-41.8872340441863,126.98659616963,609.491600004837
1 Jan 2020 19:40:35.000000000,-41.9482365249523,126.966869631556,609.514217260548
1 Jan 2020 19:40:36.000000000,-42.0092361124405,126.947113510376,609.536838967626
1 Jan 2020 19:40:37.000000000,-42.0702327980575,126.927327687237,609.559465019799
1 Jan 2020 19:40:38.000000000,-42.131226573172,126.907512042711,609.582095310785
1 Jan 2020 19:40:39.000000000,-42.192217429115,126.887666456793,609.604729734268
1 Jan 2020 19:40:40.000000000,-42.253205357179,126.86779080889,609.627368183934
1 Jan 2020 19:40:41.000000000,-42.3141903486181,126.847884977828,609.650010553446
1 Jan 2020 19:40:42.000000000,-42.3751723946477,126.82794884184,609.672656736451
1 Jan 2020 19:40:43.000000000,-42.436151486444,126.807982278565,609.695306626582
1 Jan 2020 19:40:44.000000000,-42.4971276151442,126.787985165047,609.717960117456
1 Jan 2020 19:40:45.000000000,-42.5581007718456,126.767957377727,609.740617102675
1 Jan 2020 19:40:46.000000000,-42.6190709476057,126.747898792438,609.763277475833
1 Jan 2020 19:40:47.000000000,-42.680038133442,126.727809284411,609.785941130509
1 Jan 2020 19:40:48.000000000,-42.7410023203314,126.707688728257,609.808607960266
1 Jan 2020 19:40:49.000000000,-42.8019634992104,126.687536997976,609.831277858661
1 Jan 2020 19:40:50.000000000,-42.8629216609741,126.667353966945,609.853950719231
1 Jan 2020 19:40:51.000000000,-42.9238767964766,126.647139507914,609.876626435511
1 Jan 2020 19:40:52.000000000,-42.9848288965303,126.626893493011,609.89930490102
1 Jan 2020 19:40:53.000000000,-43.0457779519061,126.606615793726,609.921986009271
1 Jan 2020 19:40:54.000000000,-43.1067239533321,126.586306280919,609.944669653769
1 Jan 2020 19:40:55.000000000,-43.1676668914946,126.565964824802,609.967355727997
1 Jan 2020 19:40:56.000000000,-43.2286067570368,126.545591294948,609.990044125448
1 Jan 2020 19:40:57.000000000,-43.289543540559,126.525185560281,610.012734739597
1 Jan 2020 19:40:58.000000000,-43.350477232618,126.504747489069,610.035427463911
1 Jan 2020 19:40:59.000000000,-43.4114078237272,126.484276948929,610.058122191854
1 Jan 2020 19:41:00.000000000,-43.4723353043558,126.463773806811,610.08081881688
1 Jan 2020 19:41:01.000000000,-43.5332596649289,126.443237929006,610.10351723244
1 Jan 2020 19:41:02.000000000,-43.594180895827,126.422669181128,610.12621733198
1 Jan 2020 19:41:03.000000000,-43.6550989873856,126.402067428125,610.148919008939
1 Jan 2020 19:41:04.000000000,-43.716013929895,126.381432534264,610.17162215675
1 Jan 2020 19:41:05.000000000,-43.7769257136002,126.360764363129,610.194326668848
